number;url;source_type;menu_hierarchy;challenge_label;challenge_desc,
27;https://vimeo.com/user104873822;video;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
28;https://www.czs.si/Files/promocija44.jpg;picture;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
29;https://spletni2.furs.gov.si/FFS/REGSR/FFS_sezn.asp?L=1&S=1&top=1;spletna stran;;E;E.      INTEGRACIJA PODATKOV UPORABE ČEBELAM NEVARNIH FFS-jev v rešitev,
30;https://www.czs.si/Files/promocija45.pdf;pdf;;E;E.      INTEGRACIJA PODATKOV UPORABE ČEBELAM NEVARNIH FFS-jev v rešitev,
31;http://www.slovenskimed.si/Si/;spletna stran;;F.;F.     INTEGRACIJA PODATKOV PONUDBE čebeljih izdelkov in storitev v rešitev,
32;https://www.czs.si/oglas.php;spletna stran;;F.;F.     INTEGRACIJA PODATKOV PONUDBE čebeljih izdelkov in storitev v rešitev,
33;https://www.apiturizem.si/;spletna stran;;G.;G.      INTEGRACIJA PODATKOV APITURIZMA v rešitev,
"1;https://www.czs.si/content/D57;spletna stran;(meni Domov / Čebelarstvo / Vzreja matic);A. ;""A.     Geografska koordinata lokacije in tip čebelnjaka (Trikotnik - registrirani stacionarni; začasni; Kvadratek – stojišča;  Rdeče pike – vzreja matic).""",
"2;https://www.czs.si/content/D52;spletna stran;(meni Domov / Čebelarstvo / Vzreja matic/ Čebelja družina);A. ;""A.     Geografska koordinata lokacije in tip čebelnjaka (Trikotnik - registrirani stacionarni; začasni; Kvadratek – stojišča;  Rdeče pike – vzreja matic).""",
"3;https://www.czs.si/content/D58;spletna stran;(meni Domov / Čebelarstvo / Vzreja matic/ Rodovniške matice);A. ;""A.     Geografska koordinata lokacije in tip čebelnjaka (Trikotnik - registrirani stacionarni; začasni; Kvadratek – stojišča;  Rdeče pike – vzreja matic).""",
"4;https://www.czs.si/content/D59;spletna stran;meni Domov / Čebelarstvo / Vzreja matic/ Preventiva;A. ;""A.     Geografska koordinata lokacije in tip čebelnjaka (Trikotnik - registrirani stacionarni; začasni; Kvadratek – stojišča;  Rdeče pike – vzreja matic).""",
5;https://www.czs.si/content/C32;spletna stran;( Meni Čebele /Čebelje bolezni / Huda gniloba) ;B;Prikaz OBMOČJA BOLEZNI (Rdeči krogi) ter interpretacija vpliva bolezni na ukrepe čebelarja: -  3-km krogi okoli žarišča izbruha bolezni, premiki čebeljih družin
6;https://www.czs.si/content/D510;spletna stran;(Higijena);B;B. Prikaz OBMOČJA BOLEZNI (Rdeči krogi) ter interpretacija vpliva bolezni na ukrepe čebelarja: -  3-km krogi okoli žarišča izbruha bolezni, premiki čebeljih družin
7;https://www.czs.si/content/D6;spletna stran;(prevoz na pašo);B;B. Prikaz OBMOČJA BOLEZNI (Rdeči krogi) ter interpretacija vpliva bolezni na ukrepe čebelarja: -  3-km krogi okoli žarišča izbruha bolezni, premiki čebeljih družin
8;https://www.czs.si/content/X6;spletna stran;(Domov / Napoved medenja;C;C.     INTEGRACIJA PODATKOV MEDENJA in medovitih rastlin v rešitev,
