CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
33550,523053,96090,16.02.05,01.12.09
33551,520391,101267,16.02.05,06.01.21
33552,527874,99771,16.02.05,06.01.21
33553,531345,98030,16.02.05,06.01.21
33558,517609,102350,16.02.05,01.12.09
33560,521144,95981,16.02.05,02.06.10
33561,521147,98437,16.02.05,31.08.17
33562,521173,98960,16.02.05,04.04.14
33563,516424,99391,16.02.05,23.11.10
33564,512334,96508,16.02.05,01.08.07
33572,419828,54671,16.02.05,25.10.18
33574,417312,48450,16.02.05,19.12.19
33575,416618,49466,16.02.05,09.07.14
33577,421448,49366,16.02.05,28.12.09
33582,425554,54193,16.02.05,27.03.15
33585,423119,66018,16.02.05,04.01.11
33594,417412,71532,16.02.05,12.05.08
33602,406959,70614,16.02.05,19.03.12
33605,410471,83253,17.02.05,29.06.09
33609,402101,84160,17.02.05,01.06.10
33610,402668,84076,17.02.05,01.06.10
33611,393917,86065,17.02.05,25.10.18
33612,396038,87700,17.02.05,20.12.16
33614,395317,87321,17.02.05,23.05.17
33616,404280,88232,17.02.05,13.10.14
33617,395513,88301,17.02.05,16.02.12
33618,410462,114402,17.02.05,06.07.15
33619,395680,87823,17.02.05,29.10.10
33620,420891,53150,17.02.05,23.01.20
34762,446364,113843,03.03.05,09.01.19
34765,444914,110069,03.03.05,23.11.07
34772,429576,106656,03.03.05,09.11.20
34775,448172,117855,03.03.05,19.11.09
34777,437286,118093,03.03.05,06.02.18
34778,435784,118377,03.03.05,12.06.12
34780,458180,104553,03.03.05,22.10.15
34783,433960,119897,03.03.05,04.07.13
34796,546516,166017,03.03.05,27.05.13
34799,445158,113128,03.03.05,09.09.16
34800,546315,165690,03.03.05,22.05.12
34811,530218,139168,03.03.05,28.12.11
34813,446417,116207,03.03.05,15.03.12
34815,540304,128037,03.03.05,04.07.13
34819,529452,137353,03.03.05,26.06.14
34820,446060,110805,03.03.05,22.03.17
34821,445626,112171,03.03.05,29.10.08
34824,441995,111360,03.03.05,06.10.08
34826,449564,114724,03.03.05,25.10.18
34830,447319,114504,03.03.05,10.12.07
34832,387371,99665,03.03.05,23.11.09
34834,443791,111371,03.03.05,02.06.10
34835,441816,117791,03.03.05,06.05.09
34836,448131,113656,03.03.05,12.08.08
34838,446741,113637,03.03.05,19.07.18
36015,517442,66783,10.03.05,09.02.12
36027,459839,103361,10.03.05,09.12.09
36028,542201,81254,10.03.05,21.09.11
36031,547211,81359,10.03.05,21.09.16
36032,543441,104133,10.03.05,07.02.12
36033,542682,105727,10.03.05,02.02.12
36034,461795,108755,10.03.05,28.01.19
36037,537408,89704,10.03.05,16.01.12
36038,474199,108471,10.03.05,09.09.16
36039,530649,91104,10.03.05,26.02.20
36042,537253,89632,10.03.05,25.10.18
36044,536599,95556,10.03.05,06.08.20
36048,456717,107223,10.03.05,02.03.12
36051,514601,162740,10.03.05,03.09.08
36052,465993,104163,10.03.05,31.07.19
36053,466013,104166,10.03.05,31.07.19
36054,529706,95795,10.03.05,07.07.20
36056,440850,92620,10.03.05,16.09.11
36059,462397,106543,10.03.05,09.07.14
36065,484316,133692,10.03.05,21.11.12
36067,488105,139296,10.03.05,21.06.11
36069,592352,153560,10.03.05,14.07.09
36071,571548,139080,10.03.05,04.02.19
36080,455512,112140,10.03.05,10.04.09
37354,565450,162267,15.03.05,29.09.08
37355,532170,116641,15.03.05,09.02.12
37357,564005,156370,15.03.05,04.06.10
37358,539105,113607,15.03.05,25.08.08
37359,511662,150313,15.03.05,12.04.12
33473,515800,57885,16.02.05,06.02.20
33477,395055,88372,16.02.05,12.08.08
33478,394559,89407,16.02.05,21.12.20
33481,516211,55700,16.02.05,27.03.12
33482,514443,57667,16.02.05,27.03.12
33483,391639,81005,16.02.05,22.06.18
33484,530076,77375,16.02.05,21.02.12
33491,396359,82391,16.02.05,12.09.16
33499,389615,80169,16.02.05,03.02.20
33500,390220,80124,16.02.05,27.01.12
33503,390076,80093,16.02.05,25.10.18
33507,390288,81857,16.02.05,05.09.18
33508,415419,75309,16.02.05,10.09.07
33510,400552,83459,16.02.05,10.09.07
33515,514728,57331,16.02.05,13.01.11
33516,508256,58885,16.02.05,23.09.13
33519,514196,55067,16.02.05,19.03.12
33523,512309,55669,16.02.05,03.06.10
33524,533806,96501,16.02.05,29.08.08
33527,538336,95569,16.02.05,05.02.09
33528,539268,99417,16.02.05,05.03.14
33530,529646,85095,16.02.05,22.01.13
33532,521863,99399,16.02.05,25.10.18
33542,520148,97434,16.02.05,02.02.12
33543,519432,98271,16.02.05,02.02.12
33544,525209,96824,16.02.05,02.02.12
33545,525147,94913,16.02.05,18.01.12
33546,521134,97025,16.02.05,29.08.17
33547,520754,97157,16.02.05,29.08.17
34841,453294,118280,03.03.05,10.03.08
34852,443985,108479,03.03.05,17.10.11
34853,444084,108536,03.03.05,17.10.11
34857,441790,110960,03.03.05,26.03.20
34860,440648,117115,03.03.05,03.02.20
34861,446596,116194,03.03.05,06.12.07
34862,437553,123486,03.03.05,25.10.18
34864,440888,110515,03.03.05,07.10.08
34871,467276,93724,03.03.05,29.05.18
34878,471950,83346,03.03.05,03.11.14
34882,540178,120471,03.03.05,27.05.08
34885,540630,122049,03.03.05,07.06.10
34887,541275,121807,03.03.05,14.04.10
34888,541944,122516,03.03.05,03.11.06
34892,539297,121018,03.03.05,26.10.11
34896,539645,121069,03.03.05,01.04.11
34901,536789,120253,03.03.05,09.07.14
34903,435620,123158,03.03.05,29.01.09
34904,542628,120424,03.03.05,14.05.13
34906,536030,121396,03.03.05,30.07.07
34909,538990,118689,03.03.05,07.12.18
34912,519621,80927,03.03.05,08.09.15
34914,533796,89096,03.03.05,17.12.15
36099,463299,110700,10.03.05,20.05.13
36107,489512,153153,10.03.05,07.06.10
36110,487869,154193,10.03.05,23.01.12
36112,489054,154379,10.03.05,24.01.12
36113,488071,154004,10.03.05,19.07.18
36114,488392,151879,10.03.05,11.02.20
36116,477448,109637,10.03.05,10.03.20
36118,482889,111337,10.03.05,26.06.14
36124,477238,111558,10.03.05,08.10.18
36127,481929,109877,10.03.05,25.10.18
36129,485424,112217,10.03.05,25.03.20
36135,595833,173849,10.03.05,31.03.11
36140,594972,178796,10.03.05,07.12.18
36142,464561,100471,10.03.05,19.09.17
36145,479982,102511,10.03.05,06.03.12
