LOKACIJA_IZH,Y,X,LOKACIJA_DEST,Y_DEST,X_DEST,DATE_MOVE
56807,536143,157963,31243,619683,150007,22.07.14
34905,537549,121306,32441,531144,108279,08.04.14
35044,532134,111931,32455,531653,105950,04.04.14
32469,561838,166818,32461,559820,153468,17.04.15
49707,522665,97375,32490,546903,107973,22.04.15
49991,546291,109124,32496,551932,102279,02.05.12
49781,462513,98246,32507,443670,103421,30.04.15
64799,539385,154369,30055,585489,166726,19.07.16
31137,610961,161107,31276,486999,97942,17.04.12
31137,610961,161107,31276,486999,97942,16.04.12
81119,416255,58205,31278,412197,41341,12.08.21
80846,414824,46236,31278,412197,41341,12.08.21
78930,427016,52179,31278,412197,41341,21.07.20
78429,416255,58205,31278,412197,41341,21.07.20
75341,427016,52179,31278,412197,41341,19.07.19
74980,420977,58388,31278,412197,41341,19.07.19
55333,422244,48821,31303,404166,43149,23.02.14
55333,422244,48821,31303,404166,43149,21.02.15
55333,422244,48821,31303,404166,43149,27.02.16
31304,422251,48817,31303,404166,43149,03.03.12
31304,422251,48817,31303,404166,43149,04.03.13
31304,422251,48817,31303,404166,43149,23.02.14
31304,422251,48817,31303,404166,43149,21.02.15
31304,422251,48817,31303,404166,43149,27.02.16
31304,422251,48817,31303,404166,43149,24.02.18
31304,422251,48817,31303,404166,43149,16.02.17
31304,422251,48817,31303,404166,43149,29.12.18
31304,422251,48817,31303,404166,43149,26.12.19
31304,422251,48817,31303,404166,43149,08.02.21
48279,404161,43147,31304,422251,48817,11.05.14
48279,404161,43147,31304,422251,48817,30.05.15
48279,404161,43147,31304,422251,48817,24.05.17
31303,404166,43149,31304,422251,48817,11.05.14
31303,404166,43149,31304,422251,48817,30.05.15
31303,404166,43149,31304,422251,48817,11.05.14
31303,404166,43149,31304,422251,48817,30.05.15
31303,404166,43149,31304,422251,48817,21.05.16
31303,404166,43149,31304,422251,48817,21.05.16
31303,404166,43149,31304,422251,48817,24.05.17
31303,404166,43149,31304,422251,48817,24.05.17
31303,404166,43149,31304,422251,48817,12.05.18
31303,404166,43149,31304,422251,48817,25.05.19
31303,404166,43149,31304,422251,48817,15.05.21
31303,404166,43149,31304,422251,48817,17.05.20
40509,513335,111758,31332,520387,130611,26.03.12
75702,446146,83761,31338,403944,44669,29.08.19
66433,400336,87460,31338,403944,44669,15.05.17
82117,447781,64874,31339,403944,44669,16.09.21
70263,555587,100318,33255,502512,67988,18.05.18
67566,500383,61155,33255,502512,67988,17.07.17
56232,555587,100318,33255,502512,67988,23.05.14
38624,452390,63623,33256,509273,67689,31.08.16
33750,588021,164675,33257,600367,170885,04.04.12
70899,587773,185501,33277,588703,173989,07.08.18
57812,606093,163999,33287,589900,177314,10.05.18
80808,590464,182850,33290,588816,173649,02.07.21
35737,548640,161020,30116,518277,134447,20.07.15
46487,473970,105436,30132,464191,103706,29.05.17
70189,405945,81683,30138,481719,108400,15.05.18
63762,492054,118684,30138,481719,108400,07.10.16
42449,494104,91528,30163,417191,74977,09.05.18
81127,427406,78306,31354,418285,80953,31.08.21
77838,427455,77663,31354,418285,80953,20.08.20
74566,425053,78060,31354,418285,80953,20.08.19
71949,428405,79935,31354,418285,80953,14.08.18
67791,391113,101705,31354,418285,80953,10.07.17
65107,426225,78947,31354,418285,80953,12.09.16
60616,391113,101705,31354,418285,80953,13.07.15
57904,426225,78947,31354,418285,80953,19.08.14
81920,427406,78306,31355,418285,80953,31.08.21
77836,427455,77663,31355,418285,80953,20.08.20
75509,428405,79934,31355,418285,80953,20.08.19
71948,428405,79935,31355,418285,80953,14.08.18
67790,391113,101705,31355,418285,80953,10.07.17
65106,426225,78947,31355,418285,80953,12.09.16
60617,391113,101705,31355,418285,80953,13.07.15
57903,426225,78947,31355,418285,80953,19.08.14
81921,427406,78306,31356,418285,80953,31.08.21
77837,427455,77663,31356,418285,80953,20.08.20
