CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
39080,435912,56655,01.04.05,29.08.16
39081,435372,55376,01.04.05,
40036,476039,83921,23.05.05,
41688,535901,139040,06.01.06,
41689,532673,138442,06.01.06,
41690,534235,140564,06.01.06,
41691,534359,137150,06.01.06,
41701,587372,188684,07.01.06,24.04.08
41702,589716,187340,07.01.06,24.04.08
41707,542367,165013,09.01.06,16.09.11
41711,439051,60741,09.01.06,14.10.16
41721,555692,123159,09.01.06,
41722,558658,124795,09.01.06,
41723,561134,126890,09.01.06,
41724,559117,127608,09.01.06,
41725,552534,144313,09.01.06,
41732,546636,138868,09.01.06,
41734,544726,135002,09.01.06,
41735,582132,134285,09.01.06,
41736,558687,131586,09.01.06,
41747,562267,137234,09.01.06,
41739,545094,145862,09.01.06,
41740,548958,146825,09.01.06,
40082,400231,116546,30.05.05,
41081,594038,166024,07.09.05,05.01.17
41096,402630,88737,07.09.05,
41108,414214,89458,07.09.05,
41110,591089,172161,07.09.05,15.07.13
41116,436082,66124,07.09.05,08.10.20
41947,601397,171160,01.02.06,
41949,595651,174296,01.02.06,13.07.15
41962,456104,124097,15.02.06,
39083,435126,59113,01.04.05,
39084,435126,59113,01.04.05,
39088,453879,103691,01.04.05,
39115,433781,71005,01.04.05,
39116,433781,71005,01.04.05,
39121,458828,139535,01.04.05,
40119,522221,113345,02.06.05,
40133,397208,91653,09.06.05,20.05.20
40135,395870,85781,09.06.05,20.02.12
41163,588129,146860,09.09.05,
39257,437096,133486,04.04.05,23.12.20
39267,400910,43152,05.04.05,12.06.19
40179,395566,84510,16.06.05,07.10.16
40211,545222,108257,16.06.05,
40222,429879,93085,17.06.05,
41215,446771,94036,12.09.05,28.02.11
41253,462314,141558,15.09.05,
41254,462314,141558,15.09.05,
41741,555693,128628,09.01.06,
41742,549494,143816,09.01.06,
41743,547259,144522,09.01.06,
41744,549657,145974,09.01.06,
41745,546152,144856,09.01.06,
41748,562169,137322,09.01.06,
41751,595471,163485,11.01.06,
41753,551977,127698,12.01.06,23.07.20
41759,546083,124342,16.01.06,
41797,463121,91464,18.01.06,
41807,465445,117139,18.01.06,27.09.16
39322,414857,63531,05.04.05,22.03.12
39326,454798,119656,05.04.05,03.04.12
39346,384091,97499,05.04.05,
39347,382847,97358,05.04.05,
40249,395885,97874,17.06.05,
